Unnamed: 0,dropout0.0,dropout0.1,dropout0.2,dropout0.3,dropout0.4,dropout0.5,dropout0.8
epoch1,1.0661812990810513,1.0663353691066948,1.0661038276029913,1.0664550336720098,1.0664188984701732,1.066025324779912,1.0680416728918092
epoch2,1.061336761257612,1.0620770722024069,1.061754277288579,1.0621510400205871,1.0627087828832176,1.0619395072803104,1.0637191126658196
epoch3,1.0584522193304486,1.0596059015441903,1.0583349919351692,1.0591886545547309,1.059615011411539,1.059517777852644,1.06140548473819
epoch4,1.0551810546771794,1.055153452254693,1.055380104310965,1.0559425291429656,1.0567454434572237,1.0564413610904992,1.0602159505286957
epoch5,1.0532496434525265,1.0527830609783138,1.0530861656753867,1.0544295516001905,1.0540429408724954,1.055005605927528,1.0587844509654194
epoch6,1.050715328160186,1.0507718647905293,1.0504953282135026,1.0522839142139706,1.0522303267484732,1.0525111393260609,1.057548302641383
epoch7,1.0473006449910365,1.0480520247307523,1.0481068837403356,1.050121316342305,1.0504051673455803,1.0517591003912723,1.0562134637631244
epoch8,1.0447230349694838,1.0459940577986766,1.0468135166552643,1.0471018609517564,1.0486329803195606,1.0499251760028068,1.0560871982322175
epoch9,1.0413984964571243,1.0436743262834849,1.0437624461609922,1.0460199641727248,1.0474379418069255,1.0489820873849145,1.0560806265125442
epoch10,1.0380664998134324,1.0403460335673247,1.0419562625775871,1.0439955672184842,1.0453751890236378,1.0479547478814677,1.0553294137149305
epoch11,1.035237482145395,1.0382967099220624,1.0402345291791475,1.0430072733961528,1.0443004044650313,1.0457939060545562,1.055034904890918
epoch12,1.031736123855747,1.0355043189131736,1.0374599224555796,1.0401719578256508,1.0425028144398285,1.0446006485293946,1.0545493936624901
epoch13,1.02931856608855,1.0327639354963127,1.0357773956857428,1.0387688862010835,1.0422192054364745,1.0444296284210302,1.0542786697320128
epoch14,1.0265445423638833,1.0307064255377598,1.0337994111076598,1.0382273885509457,1.040399410195717,1.0435778190183342,1.0534211232653574
epoch15,1.0232756219446293,1.0290358573204184,1.0320985062570334,1.0364442306399648,1.0393229592574535,1.042732919483042,1.053735978242209
epoch16,1.021192938377021,1.026835624866428,1.0302027456836935,1.0356346964045269,1.0377058097915033,1.041422893595455,1.0529868248836503
epoch17,1.0187858101534284,1.023827035493912,1.0287148955117735,1.033607425828663,1.036836237114115,1.0405313541681585,1.0533405607915023
epoch18,1.0162955101890814,1.0215714506664757,1.0261077442727102,1.031384066160533,1.0358424242257342,1.040131282264533,1.0528616479435364
epoch19,1.013779974562119,1.020297337217515,1.0255091915014625,1.0305722064143064,1.0353692281542757,1.0393215691345865,1.052607955740215
epoch20,1.012313337395465,1.0182776205593642,1.0233958368789822,1.0297592303033445,1.033967241050327,1.0388786334191635,1.052178151837536
epoch21,1.0105136418580596,1.0171003934399674,1.0235456568653356,1.0283953848009533,1.0338888442209029,1.0376940752800623,1.0521906697671135
epoch22,1.0094147221370366,1.015170867121196,1.0213997103252992,1.0268746200093366,1.031949508440813,1.0372507673033702,1.0514614565825096
epoch23,1.0082218167955148,1.013076120814291,1.0200297789494446,1.0264871238077802,1.0324390835050017,1.0355288174495354,1.0517909322090324
epoch24,1.006766542660202,1.0139832353541116,1.0194769055660435,1.0245324204808546,1.0309841732322014,1.0352179638156958,1.0511864076660222
epoch25,1.0057877320478044,1.0120876166398294,1.0185453311855783,1.0250578843362017,1.0305445622273774,1.0359649849303851,1.0510336143128052
epoch26,1.005173826141968,1.0113095564910282,1.017821753531717,1.0233049131523035,1.03040742844178,1.033873019150566,1.0509981920811162
epoch27,1.0045243059483908,1.0099063675835436,1.017533799985138,1.022478538043663,1.030152058439655,1.0341862132381598,1.050194476546529
epoch28,1.0041122656923165,1.0099998206022531,1.016574305538738,1.022033791359264,1.0292235629605848,1.034126762179713,1.049458795175226
epoch29,1.0036295800564896,1.0083783419933487,1.015220858383978,1.0214826446554772,1.028392798064831,1.0335864448880652,1.0490338987213834
epoch30,1.0034460280761852,1.0077346812539525,1.0143484210212903,1.0210221867051,1.028375578659288,1.0331058431909332,1.0490939266399546
epoch31,1.003186767987596,1.008467450158998,1.0140125615581883,1.0211166884256917,1.026487393014777,1.0334242549538046,1.0486438809685301
epoch32,1.0031260445317252,1.0070181442734676,1.0138266825153748,1.019773329018961,1.027838516240379,1.030876078432606,1.048579993779048
epoch33,1.0026792340615294,1.007612650823413,1.0134651593024264,1.0194214038154752,1.0258480982102245,1.0316689155467262,1.0485100558451186
epoch34,1.0021193595726674,1.0070107038549854,1.012640462735348,1.0192684208094274,1.026227362173452,1.0315889836257524,1.0481992564678686
epoch35,1.0022888354376842,1.0058763972479428,1.012274017922085,1.0176830141387592,1.0261862018839458,1.0308283810095802,1.0486045641604922
epoch36,1.0022294587548195,1.0063476284440755,1.0124921412149417,1.0173536085802135,1.024433875471782,1.0304769622796806,1.0493444201918052
epoch37,1.00097190693167,1.0061115204980409,1.0106400511840972,1.0178882029474112,1.0244968142167985,1.0304193778159616,1.0480872427154677
epoch38,1.0005456368428245,1.0063947491873042,1.0115285379216246,1.0168140609614544,1.0246484028419407,1.0293160702854025,1.0484354731887613
epoch39,1.0005527080094607,1.005651347515935,1.0107422660041825,1.0164355398924665,1.0228389613291238,1.029025454903279,1.0486065592167357
epoch40,1.000463036886695,1.0051644797529211,1.0114586018523386,1.0163122268609983,1.0234464527814633,1.0292598586466937,1.0480755532318737
